13:10:12.679112 1.0 Mb/s 2452 MHz 11b -85dB signal antenna 3 Retry 314us Probe Response (kcmsdwireless) [1.0* 2.0* 5.5* 11.0* 6.0 12.0 24.0 36.0 Mbit] CH: 11, PRIVACY
13:10:12.689194 1.0 Mb/s 2457 MHz 11b -78dB signal antenna 3 314us Probe Response (kcmsdwireless) [1.0* 2.0* 5.5* 11.0* 6.0 12.0 24.0 36.0 Mbit] CH: 11, PRIVACY
13:10:12.692456 1.0 Mb/s 2457 MHz 11b -80dB signal antenna 3 Retry 314us Probe Response (kcmsdwireless) [1.0* 2.0* 5.5* 11.0* 6.0 12.0 24.0 36.0 Mbit] CH: 11, PRIVACY
13:10:12.726475 1.0 Mb/s 2462 MHz 11b -78dB signal antenna 3 Retry 314us Probe Response (kcmsdwireless) [1.0* 2.0* 5.5* 11.0* 6.0 12.0 24.0 36.0 Mbit] CH: 11, PRIVACY
13:10:12.740778 1.0 Mb/s 2462 MHz 11b -82dB signal antenna 3 0us Beacon (TG862GA2) [1.0* 2.0* 5.5* 11.0* 9.0 18.0 36.0 54.0 Mbit] ESS CH: 11, PRIVACY
13:10:12.752943 1.0 Mb/s 2462 MHz 11b -79dB signal antenna 3 0us Beacon (kcmsdwireless) [1.0* 2.0* 5.5* 11.0* 6.0 12.0 24.0 36.0 Mbit] ESS CH: 11, PRIVACY
13:10:15.532965 1.0 Mb/s 2427 MHz 11b -84dB signal antenna 3 0us Beacon () [1.0* 2.0* 5.5* 11.0* 6.0 12.0 24.0 36.0 Mbit] ESS CH: 2, PRIVACY
13:10:15.604268 1.0 Mb/s 2457 MHz 11b -80dB signal antenna 3 314us Probe Response (kcmsdwireless) [1.0* 2.0* 5.5* 11.0* 6.0 12.0 24.0 36.0 Mbit] CH: 11, PRIVACY
13:10:15.608005 1.0 Mb/s 2457 MHz 11b -84dB signal antenna 3 0us Beacon (TG862GA2) [1.0* 2.0* 5.5* 11.0* 9.0 18.0 36.0 54.0 Mbit] ESS CH: 11, PRIVACY
13:10:15.640240 1.0 Mb/s 2462 MHz 11b -82dB signal antenna 3 Retry 314us Probe Response (kcmsdwireless) [1.0* 2.0* 5.5* 11.0* 6.0 12.0 24.0 36.0 Mbit] CH: 11, PRIVACY
13:10:15.643501 1.0 Mb/s 2462 MHz 11b -81dB signal antenna 3 304us Probe Response (TG862GA2) [1.0* 2.0* 5.5* 11.0* 9.0 18.0 36.0 54.0 Mbit] CH: 11, PRIVACY
13:10:18.519935 1.0 Mb/s 2457 MHz 11b -79dB signal antenna 3 Retry 314us Probe Response (kcmsdwireless) [1.0* 2.0* 5.5* 11.0* 6.0 12.0 24.0 36.0 Mbit] CH: 11, PRIVACY
13:10:18.531667 1.0 Mb/s 2462 MHz 11b -88dB signal antenna 3 304us Probe Response (TG862GA2) [1.0* 2.0* 5.5* 11.0* 9.0 18.0 36.0 54.0 Mbit] CH: 11, PRIVACY
13:10:18.534799 1.0 Mb/s 2462 MHz 11b -78dB signal antenna 3 Retry 314us Probe Response (kcmsdwireless) [1.0* 2.0* 5.5* 11.0* 6.0 12.0 24.0 36.0 Mbit] CH: 11, PRIVACY
13:10:18.539159 1.0 Mb/s 2462 MHz 11b -88dB signal antenna 3 0us Beacon () [1.0* 2.0* 5.5* 11.0* 6.0 12.0 24.0 36.0 Mbit] ESS CH: 11, PRIVACY
13:10:18.541865 1.0 Mb/s 2462 MHz 11b -80dB signal antenna 3 0us Beacon () [1.0* 2.0* 5.5* 11.0* 6.0 12.0 24.0 36.0 Mbit] ESS CH: 11, PRIVACY
13:10:21.349228 1.0 Mb/s 2432 MHz 11b -88dB signal antenna 3 0us Beacon () [1.0* 2.0* 5.5* 11.0* 6.0 12.0 24.0 36.0 Mbit] ESS CH: 4, PRIVACY
