12:31:37.125036 1.0 Mb/s 2432 MHz 11b -80dB signal antenna 3 Retry 314us Probe Response (Belkin_Enhanced_Wireless_EB602D) [1.0* 2.0* 5.5* 11.0* 18.0 24.0 36.0 54.0 Mbit] CH: 6, PRIVACY
12:31:37.133479 1.0 Mb/s 2432 MHz 11b -80dB signal antenna 3 Retry 314us Probe Response (Belkin_Enhanced_Wireless_EB602D) [1.0* 2.0* 5.5* 11.0* 18.0 24.0 36.0 54.0 Mbit] CH: 6, PRIVACY
12:31:37.141744 1.0 Mb/s 2432 MHz 11b -79dB signal antenna 3 0us Beacon (NETGEAR75) [1.0* 2.0* 5.5* 11.0* 6.0 9.0 12.0 18.0 Mbit] ESS CH: 4, PRIVACY
12:31:37.160692 1.0 Mb/s 2437 MHz 11b -81dB signal antenna 3 0us Beacon (ATT952) [1.0* 2.0* 5.5* 11.0* 18.0 24.0 36.0 54.0 Mbit] ESS CH: 6, PRIVACY
12:31:37.167156 1.0 Mb/s 2437 MHz 11b -78dB signal antenna 3 Retry 314us Probe Response (Belkin_Enhanced_Wireless_EB602D) [1.0* 2.0* 5.5* 11.0* 18.0 24.0 36.0 54.0 Mbit] CH: 6, PRIVACY
12:31:37.170526 1.0 Mb/s 2437 MHz 11b -80dB signal antenna 3 Retry 314us Probe Response (ATT952) [1.0* 2.0* 5.5* 11.0* 18.0 24.0 36.0 54.0 Mbit] CH: 6, PRIVACY
12:31:37.188867 1.0 Mb/s 2442 MHz 11b -77dB signal antenna 3 314us Probe Response (Belkin_Enhanced_Wireless_EB602D) [1.0* 2.0* 5.5* 11.0* 18.0 24.0 36.0 54.0 Mbit] CH: 6, PRIVACY
12:31:37.210022 1.0 Mb/s 2442 MHz 11b -78dB signal antenna 3 Retry 314us Probe Response (Belkin_Enhanced_Wireless_EB602D) [1.0* 2.0* 5.5* 11.0* 18.0 24.0 36.0 54.0 Mbit] CH: 6, PRIVACY
12:31:37.221931 2.0 Mb/s 2447 MHz 11b -68dB signal antenna 3 Retry 258us Probe Response (2WIRE095) [1.0* 2.0* 5.5* 6.0 9.0 11.0* 12.0 18.0 Mbit] CH: 8, PRIVACY
12:31:37.223965 2.0 Mb/s 2447 MHz 11b -69dB signal antenna 3 Retry 258us Probe Response (2WIRE095) [1.0* 2.0* 5.5* 6.0 9.0 11.0* 12.0 18.0 Mbit] CH: 8, PRIVACY
12:31:37.227008 2.0 Mb/s 2447 MHz 11b -69dB signal antenna 3 0us Beacon (2WIRE095) [1.0* 2.0* 5.5* 11.0* 6.0 9.0 12.0 18.0 Mbit] ESS CH: 8, PRIVACY
12:31:37.231773 2.0 Mb/s 2447 MHz 11b -80dB signal antenna 3 0us Beacon (2WIRE135) [1.0* 2.0* 5.5* 11.0* 6.0 9.0 12.0 18.0 Mbit] ESS CH: 6, PRIVACY
12:31:37.247837 1.0 Mb/s 2447 MHz 11b -86dB signal antenna 3 0us Beacon (SCD_Cool) [1.0* 2.0* 5.5* 11.0* 18.0* 24.0* 36.0* 54.0* Mbit] ESS CH: 8, PRIVACY
12:31:37.282196 1.0 Mb/s 2462 MHz 11b -73dB signal antenna 3 304us Probe Response (Demetria Lynne) [1.0* 2.0* 5.5* 11.0* 9.0 18.0 36.0 54.0 Mbit] CH: 11, PRIVACY
12:31:37.283071 6.0 Mb/s 2462 MHz 11g -88dB signal antenna 3 Retry 60us Probe Response (DIRECT-iaSCX-3400) [6.0* 9.0 12.0 18.0 24.0 36.0 48.0 54.0 Mbit] CH: 11, PRIVACY
12:31:37.287597 1.0 Mb/s 2462 MHz 11b -76dB signal antenna 3 304us Probe Response (Demetria Lynne) [1.0* 2.0* 5.5* 11.0* 9.0 18.0 36.0 54.0 Mbit] CH: 11, PRIVACY
12:31:37.291122 1.0 Mb/s 2462 MHz 11b -77dB signal antenna 3 304us Probe Response (Demetria Lynne) [1.0* 2.0* 5.5* 11.0* 9.0 18.0 36.0 54.0 Mbit] CH: 11, PRIVACY
12:31:39.803000 6.0 Mb/s 5785 MHz 11a -77dB signal antenna 3 0us Beacon (Cisco_261223DC) [6.0* 9.0 12.0* 18.0 24.0* 36.0 48.0 54.0 Mbit] ESS, PRIVACY
12:31:39.803912 6.0 Mb/s 5785 MHz 11a -77dB signal antenna 3 60us Probe Response (Cisco_261223DC) [6.0* 9.0 12.0* 18.0 24.0* 36.0 48.0 54.0 Mbit], PRIVACY
12:31:40.068215 1.0 Mb/s 2412 MHz 11b -86dB signal antenna 3 304us Probe Response (Mom's Network) [1.0* 2.0* 5.5* 11.0* 9.0 18.0 36.0 54.0 Mbit] CH: 1, PRIVACY
12:31:40.081288 1.0 Mb/s 2412 MHz 11b -86dB signal antenna 3 0us Beacon (zonetwl) [1.0* 2.0* 5.5* 11.0* 6.0 9.0 12.0 18.0 Mbit] ESS CH: 1, PRIVACY
12:31:40.085687 1.0 Mb/s 2412 MHz 11b -88dB signal antenna 3 0us Beacon (sonicwall) [1.0* 2.0* 5.5* 11.0* Mbit] ESS CH: 1, PRIVACY
12:31:40.094346 2.0 Mb/s 2417 MHz 11b -71dB signal antenna 3 258us Probe Response (2WIRE210) [1.0* 2.0* 5.5* 6.0 9.0 11.0* 12.0 18.0 Mbit] CH: 1, PRIVACY
12:31:40.144321 1.0 Mb/s 2427 MHz 11b -79dB signal antenna 3 314us Probe Response (NETGEAR75) [1.0* 2.0* 5.5* 11.0* 6.0 9.0 12.0 18.0 Mbit] CH: 4, PRIVACY
12:31:40.156576 1.0 Mb/s 2432 MHz 11b -80dB signal antenna 3 314us Probe Response (NETGEAR75) [1.0* 2.0* 5.5* 11.0* 6.0 9.0 12.0 18.0 Mbit] CH: 4, PRIVACY
